version,imei,imsi,brand,cpu,device_id,device_model,resolution,carrier,access,access_subtype,channel,source,source_detail,userid,phone_number,country,language,os,os_version,sdk_version,event_type,seq,ts,kv,appnm,ip,h5_kv,source_kv,md5,pt,hr
4.8.5,868124026292614,,OPPO,armeabi-v7a,3d87ad3d8a6ab2a4,A31t,854*480,China Mobile,WIFI,,baidu,launcher,,0,,,,android,4.4.4,,launch_time,7213,1477197696382,"{""home_show"":""1424"",""total"":""60839"",""app_create"":""6934"",""home_create"":""162""}",beibei,180.141.166.3,{},{},d6583a145971f3f42731d377b97a66d8,20161023,12
4.8.5,862886034911577,,vivo,armeabi-v7a,a655272b15d633cf,vivo X7Plus,1920*1080,CMCC,WIFI,,vivo,launcher,,41679872,,,,android,5.1.1,,launch_time,9878,1477195672913,"{""app_create"":""492"",""total"":""2431"",""home_show"":""1262"",""home_create"":""67""}",beibei,111.124.20.35,{},{},87f8f406674324d0e50da1158fb37e3d,20161023,12
4.8.5,867065024968880,,HUAWEI,armeabi-v7a,36b3f3d71c0bf380,HUAWEI P7-L07,1776*1080,中国移动,mobile,,baidu,launcher,,17453583,,,,android,4.4.2,,launch_time,53372,1477192550974,"{""home_show"":""1782"",""total"":""42410"",""app_create"":""2059"",""home_create"":""395""}",beibei,112.94.67.8,{},{},86e9c0d806041a9c8b880270dcafdf71,20161023,12
4.8.5,812345678912345,,OPPO,armeabi-v7a,8efc4c6e9d2a82bd,A51,1280*720,中国移动,MOBILE,,baidu,launcher,,39466261,,,,android,5.1.1,,launch_time,19372,1477196034212,"{""app_create"":""858"",""total"":""3183"",""home_show"":""1046"",""home_create"":""203""}",beibei,223.104.18.94,{},{},e0908c409f9d981acd31c2d2cb4e9e29,20161023,12
4.8.5,864855025409139,,BBK,armeabi-v7a,344596e0f23b0831,vivo X710L,1920*1080,CMCC,WIFI,,vivo,launcher,,12962991,,,,android,4.4.2,,launch_time,34231,1477195965146,"{""home_show"":""18325"",""total"":""22015"",""app_create"":""1193"",""home_create"":""1205""}",beibei,171.115.216.65,{},{},bc351e86d54111c9bbd9e76d703ecfe5,20161023,12
4.8.5,A0000055688704,,HUAWEI,armeabi-v7a,28f7d414fe97738c,Che1-CL10,1280*720,中国电信,WIFI,,baidu,launcher,,34532166,,,,android,4.4.4,,launch_time,157975,1477194787558,"{""home_show"":""3236"",""total"":""77223"",""app_create"":""1364"",""home_create"":""424""}",beibei,118.248.48.159,{},{},1cd6038ad076b7532d4be9de551b6b70,20161023,12
4.8.5,A0000055688704,,HUAWEI,armeabi-v7a,28f7d414fe97738c,Che1-CL10,1280*720,中国电信,WIFI,,baidu,launcher,,34532166,,,,android,4.4.4,,launch_time,158036,1477196567130,"{""home_show"":""2855"",""total"":""1027113"",""app_create"":""1555"",""home_create"":""806""}",beibei,118.248.48.159,{},{},c04339c7f630c171216dcc3966187e05,20161023,12
4.8.5,866232026077166,,vivo,armeabi-v7a,f9a9e9d76123a49a,vivo X5S L,1280*720,中国移动,WIFI,,vivo,launcher,,28904780,,,,android,4.4.4,,launch_time,4281,1476926021200,"{""home_show"":""23331"",""total"":""81385480"",""app_create"":""1389"",""home_create"":""684""}",beibei,43.224.212.67,{},{},2413849028ddbc9e17e5da8ba0be6230,20161023,12
4.8.5,868809023264661,,OPPO,armeabi-v7a,155f89be19a3e9d7,OPPO R7sPlus,1800*1080,中国移动,WIFI,,baidu,launcher,,33586652,,,,android,5.1.1,,launch_time,11832,1477197019904,"{""app_create"":""884"",""total"":""3428"",""home_show"":""1189"",""home_create"":""218""}",beibei,60.212.74.103,{},{},c4013fa7b3cf6fe2cf0949f10e85c570,20161023,12
4.8.5,868563021117971,,GiONEE,armeabi-v7a,3d852fcfce83c2b9,F103L,1280*720,中国移动,WIFI,,wm066,launcher,,31940782,,,,android,5.0.2,,launch_time,69277,1477189335350,"{""app_create"":""1398"",""total"":""5502"",""home_show"":""2191"",""home_create"":""842""}",beibei,113.79.200.34,{},{},7bd73650977dd6578774e86d635ae488,20161023,12
